TFBS_homology_group	Transcription.Factor.Name
L2158	Ddit3Cebpa
L2159	Arid3a
L216	NFATC1
L2160	NFIX
L2161	Ddit3Cebpa
L2162	FOXC2
L2163	Ddit3Cebpa
L2164	Arid3a
L2165	Arid3a
L2166	NFATC1
L2167	NFATC1
L2168	POU6F1
L2169	NFIX
L217	FOXC2
L2170	Arid3a
L2171	Dlx4
L2172	POU6F1
L2173	Dlx4
L2174	NFATC1
L2175	Arid3a
L2176	Arid3a
L2177	FOXO4
L2178	FOXO3
L2179	POU6F1
L218	NFATC1
L2180	ZNF341
L2181	Dlx4
L2182	Arid3a
L2183	FOXI1
L2184	FOXO3
L2185	TBX3
L2186	SOX9
L2187	GRHL1
L2188	BARX2
L2189	Dlx4
L219	Irx2
L2190	Dlx4
L2191	BARX2
L2192	TFAP2A
L2193	Dlx4
L2194	TFAP2A
L2195	Dlx4
L2196	Arid3a
L2197	ELF5
L2198	TBX3
L2199	NFATC1
L22	Ddit3Cebpa
L220	Irx2
L221	Irx2
L222	Irx2
L223	Irx2
L224	Irx2
L225	Irx2
L226	Irx2
L227	MEIS1
L228	FOXO4
L229	FOXO3
L23	Ddit3Cebpa
L230	NFATC1
L231	BARX2
L232	Irx2
L233	Irx2
L234	TBX3
L235	Irx2
L236	Irx2
L237	Irx2
L238	Irx2
L239	FOXO4
L24	Arid3a
L240	FOXO3
L241	Arid3a
L242	FOXO4
L243	Dlx4
L244	FOXO4
L245	BARX2
L246	TBX3
L247	FOXO4
L248	NFATC1
L249	MEIS1
L25	Bhlha15
L250	Creb3l2
L251	FIGLA
L252	Creb3l2
L253	GRHL2
L254	TBX3
L255	FOXO4
L256	FOXO3
L257	TBX3
L258	Irx2
L259	ELF5
L26	Bhlha15
L260	Arnt
L261	TBX3
L262	TBX3
L263	Irx2
L264	TP73
L265	Irx2
L266	NFATC1
L267	FOXO4
L268	FOXO3
L269	Bhlha15
L27	SOX10
L270	Creb3l2
L271	Irx2
L272	Irx2
L273	TBX3
L274	Dlx4
L275	ELF5
L276	Arnt
L277	Irx2
L278	Arnt
L279	TBX3
L28	Ddit3Cebpa
L280	NFIX
L281	FIGLA
L282	Irx2
L283	Irx2
L284	Irx2
L285	Irx2
L286	Irx2
L287	Irx2
L288	Arid3a
L289	MEIS1
L29	SOX10
L290	Bhlha15
L291	TBX3
L292	MEIS1
L293	TBX3
L294	TBX3
L295	Bhlha15
L296	Irx2
L297	EHF
L298	MEIS1
L299	NFATC1
L3	Bhlha15
L30	Ddit3Cebpa
L300	ELF5
L301	Arnt
L302	JUN
L303	NFATC1
L304	ELF5
L305	FOXC2
L306	Bhlha15
L307	SOX9
L308	ELF5
L309	ELF5
L31	Ddit3Cebpa
L310	ELF5
L311	NFATC1
L312	NFIX
L313	NFATC1
L314	TBX3
L315	NFATC1
L316	NFATC1
L317	TBX3
L318	Arid3a
L319	NR4A2
L32	MEIS1
L320	NFIX
L321	Arid3a
L322	Arid3a
