CV1298	CV1297	CV1086	CV1082	CV1095	CV1299	CV1089	CV1300	CV0857	CV1087	CV1096
PTH1R	5.53813106879083	5.49902873068522	5.47089647672853	5.31332615210086	5.56867476851978	5.67725497755152	5.23554789436786	5.64415820311518	5.36030272517258	5.50392293815679	5.45316537514631
NAT8	7.11620233909467	6.86937787260129	6.80400808549804	7.45982230843555	7.32841864214388	6.3695180668674	6.43962927054612	6.84084756443859	6.99506416205994	7.19366439425063	5.85209279955988
TMIE	4.95802259446861	5.42722708019568	4.95802259446861	5.20957677128666	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.24482601473204
ALS2CL	7.94062159460079	7.0972107915982	8.14825998657009	7.91865463810557	7.5580728407229	7.67231340530358	7.64679519496957	7.63702955919829	8.07132720380955	7.41442724200369	7.23504640075825
maker-scaffold-Z-augustus-gene-2.12_crovir-transcript-1701	7.55806505402999	5.92107896937211	6.15105994574148	5.45924397206622	5.56867476851978	6.86159569247596	5.97673298830205	5.50998184958874	6.54137524405924	6.32432019672088	5.76018847250445
HTR2B	8.38513099339194	7.91704109547024	8.54372727248435	8.53254556737488	8.12486614248014	8.45347026631936	8.14842206813774	7.53444796040065	8.10400225053838	7.66003952264634	7.68195386023827
JMJD4	6.71301788184514	6.05338217958118	7.32810903796784	7.0721670164493	6.6069080278517	7.27776195273984	6.50375379135704	6.88187393983639	7.1724223935753	6.61624277189419	6.20370205018079
JMJD4.1	6.69756229310385	5.88456701008994	6.76640592421189	7.0721670164493	6.25477027241771	6.96278177780074	6.22101974603432	6.81981675084187	6.8723466542418	6.29201878956609	6.17392249276096
SNAP47	7.01172910992809	6.11295157292003	7.41183744418751	7.15529164440351	7.0179609580104	6.34247397215363	6.56446030361895	6.91506667762455	7.30577891711249	6.87974018472116	6.20370205018079
WNT9A	5.47757783058221	4.95802259446861	4.95802259446861	5.31332615210086	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.44992461509756	4.95802259446861	4.95802259446861
VPS72	7.54193645972796	6.88397200557208	7.69364201394846	7.1350013593026	7.06708240381333	7.33385539836528	7.61232533531804	7.51795978335782	7.71988725421726	7.69789975217262	7.75948785856618
